time,x,y,z
192,-64,-192,144
80,-176,-208,320
32,-224,-160,208
240,-272,-192,64
144,-112,-272,240
48,-208,-288,176
32,-224,-128,256
112,-144,-160,224
48,-208,-256,160
112,-144,-256,240
112,-144,-240,240
48,-208,-272,192
80,-176,-240,128
32,-224,-240,272
32,-224,-192,192
0,-256,-256,192
240,-272,-464,240
32,-224,-288,64
32,-224,-240,64
0,-256,-320,128
64,-192,-224,96
80,-176,-224,256
80,-176,-176,0
16,-240,-224,192
208,-304,-288,128
48,-208,-304,224
48,-208,-208,224
32,-224,-16,208
0,-256,-16,112
208,-304,-240,160
208,-48,-304,160
32,-224,-256,80
224,-288,-480,224
241,-272,-336,112
241,-16,-272,112
49,-208,-208,192
113,-144,-256,144
49,-208,-256,192
49,-208,-240,128
49,-208,-240,128
16,-240,-480,240
65,-192,-400,160
65,-192,-272,160
49,-208,-240,128
145,-112,-240,112
241,-272,-144,80
241,-16,-160,80
97,-160,-256,144
208,-304,-224,112
49,-208,-320,160
49,-208,-352,160
241,-272,-320,192
81,-176,-320,80
241,-272,-288,144
241,-272,-224,144
33,-224,-160,112
224,-288,-320,160
33,-224,-400,176
33,-224,-272,176
1,-256,-160,240
241,-272,-160,80
65,-192,-272,96
65,-192,-128,96
97,-160,-144,128
192,-320,-176,192
82,-176,-256,144
82,-176,-176,144
82,-176,-192,240
2,-256,-192,272
82,-176,-160,144
82,-176,-288,144
178,-336,-160,256
16,-240,-160,208
34,-224,-272,208
34,-224,-320,208
18,-240,-320,256
18,-240,-320,304
34,-224,-176,128
34,-224,-224,128
226,-32,-240,144
80,-176,-112,80
82,-176,-208,272
2,-256,-208,272
66,-192,-112,144
82,-176,-112,144
242,-272,-224,256
242,-272,-288,256
130,-128,-176,208
32,-224,-96,144
35,-224,-160,160
115,-144,-272,160
3,-256,-192,208
99,-160,-192,240
19,-240,-192,112
19,-240,-288,112
51,-208,-128,144
64,-192,-240,208
67,-192,-192,208
35,-224,-352,96
115,-144,-320,96
51,-208,-320,208
51,-464,-272,48
243,-272,-192,48
131,-128,-176,256
64,-192,-224,80
67,-448,-176,80
243,-272,-240,208
3,-256,-240,112
195,-320,-208,192
195,-64,-272,192
51,-208,-304,112
131,-128,-144,256
80,-176,-224,192
83,-176,-144,192
19,-240,-240,176
195,-320,-240,176
83,-176,-176,160
83,-176,-288,160
243,-272,-128,128
115,-144,-128,160
48,-208,-208,272
52,-208,-128,272
52,-208,-272,224
148,-112,-272,32
20,-240,-336,160
20,-240,-128,416
84,-176,-304,336
36,-224,-304,192
192,-320,-320,192
196,-320,-176,192
148,-368,-48,96
244,-272,-48,176
20,-240,-160,224
20,-240,-272,224
196,-320,-336,224
36,-224,-80,208
48,-208,-192,176
52,-208,-192,176
244,-272,-256,160
244,-272,-256,160
100,-160,-320,208
100,-160,-272,208
36,-224,-272,160
20,-240,-16,160
0,-256,-128,32
4,-256,-192,32
244,-272,-144,176
244,-272,-144,256
180,-336,-240,160
180,-336,-272,160
132,-128,-304,192
52,-208,-304,208
144,-112,-304,80
149,-112,-208,80
165,-96,-288,0
5,-256,-288,176
197,-320,-160,208
197,-320,-160,208
21,-240,-208,96
37,-224,-464,144
48,-208,-112,224
53,-208,-96,224
37,-224,-160,176
37,-224,-160,272
37,-224,-144,192
37,-224,-272,192
37,-224,-304,192
101,-160,-304,176
16,-240,-240,160
21,-240,-144,160
213,-304,-96,224
245,-272,-96,192
229,-288,-416,128
229,-288,-288,128
101,-160,-144,144
53,-208,-144,304
192,-64,-288,128
53,-208,-192,112
213,-304,-144,144
22,-240,-144,192
230,-288,-240,224
230,-288,-192,224
70,-192,-288,96
70,-192,-288,208
16,-240,-240,416
70,-192,-336,416
246,-272,-224,208
230,-288,-224,256
166,-352,-192,224
166,-352,-192,224
102,-160,-208,176
118,-144,-208,240
80,-176,-224,112
70,-192,-176,80
150,-112,-208,144
70,-192,-208,32
70,-192,-208,192
102,-160,-160,192
38,-224,-144,80
38,-224,-144,208
16,-240,-272,224
102,-160,-208,208
6,-256,-464,160
38,-224,-272,48
38,-224,-320,48
86,-176,-272,208
86,-176,-288,112
134,-128,-288,176
144,-368,-208,16
247,-272,-240,16
7,-256,-288,128
151,-112,-288,288
151,-112,-288,32
87,-176,-160,144
71,-192,-224,256
87,-176,-224,96
128,-128,-288,128
215,-304,-128,192
231,-288,-128,144
39,-224,-96,144
39,-224,-400,400
103,-160,-336,368
87,-176,-208,144
247,-272,-208,256
64,-192,-128,64
247,-272,-224,96
55,-208,-224,272
39,-224,-256,16
39,-224,-160,16
71,-192,-240,224
119,-144,-496,128
247,-272,-288,112
48,-208,-192,176
215,-304,-288,80
23,-240,-288,176
103,-160,-176,96
103,-160,-368,96
71,-192,-144,128
55,-208,-400,224
199,-64,-272,128
64,-192,-160,96
184,-336,-336,96
24,-240,-336,144
120,-144,-288,192
120,-144,-192,192
40,-224,-48,144
88,-176,-304,256
40,-224,-272,192
128,-128,-288,80
200,-320,-144,48
8,-256,-144,64
104,-160,-96,144
104,-160,-192,144
104,-160,-272,16
104,-160,-272,32
200,-64,-160,208
112,-144,-288,304
184,-336,-272,80
40,-224,-272,64
8,-256,-272,224
8,-256,-304,224
136,-128,-192,144
56,-208,-192,352
72,-192,-160,224
32,-224,-240,128
232,-288,-112,192
104,-160,-112,320
88,-176,-160,192
88,-176,-336,192
232,-288,-272,288
89,-176,-272,192
105,-160,-336,208
112,-144,-288,176
73,-192,-224,96
41,-224,-224,112
249,-272,-192,208
249,-272,-192,208
153,-112,-208,112
57,-208,-208,320
217,-304,-272,96
160,-96,-272,208
169,-352,-176,96
137,-128,-176,48
121,-144,-336,128
121,-144,-208,128
153,-112,-176,192
249,-272,-176,176
105,-160,-384,176
64,-192,-128,160
233,-288,-256,256
217,-304,-256,112
217,-48,-144,112
73,-192,-272,112
153,-112,-272,144
73,-192,-272,192
73,-192,-208,272
48,-208,-128,176
58,-208,-256,128
250,-272,-256,224
250,-272,-160,64
250,-272,-224,64
42,-224,-336,192
106,-160,-336,192
42,-224,-176,16
48,-208,-288,112
90,-176,-208,144
74,-192,-208,256
74,-192,-352,256
58,-208,-128,320
186,-336,-256,256
26,-240,-256,288
186,-336,-384,128
224,-288,-224,96
250,-272,-224,192
42,-224,-192,112
42,-224,-176,368
10,-256,-224,256
26,-240,-352,144
42,-224,-352,112
42,-224,-320,128
32,-224,-160,128
74,-192,-416,176
26,-240,-304,128
26,-240,-208,128
58,-208,-208,112
154,-112,-208,192
154,-112,-112,256
154,-112,-112,0
16,-240,-288,208
235,-288,-32,80
27,-240,-176,128
27,-240,-288,128
251,-272,-192,224
187,-336,-192,144
75,-192,-160,64
75,-448,-256,64
240,-272,-112,240
91,-176,-112,256
107,-160,-112,176
107,-160,-240,176
43,-224,-176,144
43,-224,-176,96
43,-224,-192,176
43,-224,-192,176
16,-240,-160,112
251,-272,-160,176
59,-208,-256,208
59,-208,-128,208
107,-160,-160,208
11,-256,-416,144
235,-288,-288,48
235,-288,-272,48
160,-96,-368,256
75,-192,-368,192
235,-288,-224,176
235,-288,-144,176
75,-192,-224,320
123,-144,-224,240
43,-224,-304,80
43,-224,-240,80
208,-48,-288,256
124,-144,-288,192
252,-272,-240,160
252,-272,-128,160
92,-176,-208,144
252,-272,-208,192
76,-192,-272,192
76,-192,-128,192
32,-224,-304,272
76,-192,-304,80
28,-240,-240,96
28,-240,-272,96
252,-272,-320,224
156,-112,-320,304
252,-272,-176,176
252,-272,-208,176
160,-96,-320,96
108,-160,-320,80
108,-160,-192,96
28,-240,-176,96
12,-256,-128,112
44,-224,-128,224
236,-288,-288,288
236,-288,-352,288
208,-304,-224,112
45,-224,-224,176
93,-176,-160,160
93,-176,-352,160
61,-208,-160,0
93,-176,-160,112
157,-112,-320,320
157,-112,-304,320
96,-160,-304,144
45,-224,-304,128
77,-192,-208,144
77,-192,-256,144
141,-128,-96,128
109,-160,-96,304
13,-256,-192,144
13,-256,-208,144
96,-160,-288,160
77,-192,-288,144
77,-192,-160,144
77,-192,-208,80
109,-160,-176,240
29,-240,-176,240
61,-208,-208,80
61,-208,-96,80
48,-208,-144,192
173,-352,-256,192
173,-96,-176,192
173,-96,-128,224
61,-208,-160,224
77,-192,-160,256
77,-192,-144,0
45,-224,-288,192
0,-256,-240,128
238,-288,-240,208
238,-288,-160,112
254,-272,-336,112
46,-224,-304,256
254,-272,-304,112
222,-304,-208,224
222,-304,-304,224
224,-288,-272,192
254,-272,-336,160
254,-16,-272,160
62,-208,-288,128
110,-160,-112,128
