r is pressed
time,x,y,z
0,0,0,0
1992,0,0,0
3163,0,0,0
4331,0,0,0
5501,0,0,0
6669,0,0,0
7836,0,0,0
9006,0,0,0
0,0,0,0
32492,0,0,0
33661,0,0,0
34829,0,0,0
35997,0,0,0
37164,0,0,0
38334,0,0,0
39504,0,0,0
0,0,0,0
62983,0,0,0
64151,0,0,0
65319,0,0,0
66488,0,0,0
68378,0,0,0
69549,0,0,0
70717,0,0,0
65536,0,0,0
94195,0,0,0
95370,0,0,0
96538,0,0,0
97706,0,0,0
98875,0,0,0
100043,0,0,0
101211,0,0,0
65536,0,0,0
124691,0,0,0
125856,0,0,0
127028,0,0,0
128196,0,0,0
129370,0,0,0
130539,0,0,0
131707,0,0,0
131072,0,0,0
155896,0,0,0
157068,0,0,0
158236,0,0,0
159406,0,0,0
160574,0,0,0
161742,0,0,0
162911,0,0,0
131072,0,0,0
186395,0,0,0
187560,0,0,0
188732,0,0,0
189900,0,0,0
191068,0,0,0
192244,0,0,0
193413,0,0,0
196608,0,0,0
216891,0,0,0
218060,0,0,0
219228,0,0,0
220403,0,0,0
222280,0,0,0
223454,0,0,0
224622,0,0,0
196608,0,0,0
248108,0,0,0
249277,0,0,0
250445,0,0,0
251612,0,0,0
252782,0,0,0
253950,0,0,0
255384,0,0,0
262144,0,0,0
278866,0,0,0
280034,0,0,0
281202,0,0,0
282378,0,0,0
283546,0,0,0
284715,0,0,0
285883,0,0,0
262144,0,0,0
310074,0,0,0
311252,0,0,0
312420,0,0,0
313588,0,0,0
314756,0,0,0
315925,0,0,0
317100,0,0,0
327680,0,0,0
340584,0,0,0
341752,0,0,0
342921,0,0,0
344097,0,0,0
345266,0,0,0
346434,0,0,0
347602,0,0,0
327680,0,0,0
371081,0,0,0
372257,0,0,0
373424,0,0,0
374594,0,0,0
376475,0,0,0
377645,0,0,0
378812,0,0,0
393216,0,0,0
402300,0,0,0
403469,0,0,0
404637,0,0,0
405805,0,0,0
406972,0,0,0
408142,0,0,0
409310,0,0,0
393216,0,0,0
432789,0,0,0
433957,0,0,0
435132,0,0,0
436301,0,0,0
437469,0,0,0
438636,0,0,0
439806,0,0,0
458752,0,0,0
464007,0,0,0
465177,0,0,0
466351,0,0,0
467521,0,0,0
468689,0,0,0
469856,0,0,0
471026,0,0,0
458752,0,0,0
494506,0,0,0
495675,0,0,0
496843,0,0,0
498011,0,0,0
499180,0,0,0
500352,0,0,0
501520,0,0,0
458752,0,0,0
525000,0,0,0
526169,0,0,0
527336,0,0,0
528507,0,0,0
530396,0,0,0
531552,0,0,0
532481,0,0,0
524288,0,0,0
556208,0,0,0
557379,0,0,0
558528,0,0,0
559716,0,0,0
560644,0,0,0
562052,0,0,0
563204,0,0,0
524288,0,0,0
586708,0,0,0
587876,0,0,0
589044,0,0,0
590212,0,0,0
591363,0,0,0
592547,0,0,0
593668,0,0,0
589824,0,0,0
617858,0,0,0
619093,0,0,0
620261,0,0,0
621429,0,0,0
622598,0,0,0
623766,0,0,0
624934,0,0,0
589824,0,0,0
648389,0,0,0
649573,0,0,0
650246,0,0,0
651910,0,0,0
653094,0,0,0
654262,0,0,0
655431,0,0,0
655360,0,0,0
677892,0,0,0
680076,0,0,0
681254,0,0,0
682422,0,0,0
684295,0,0,0
685474,0,0,0
686642,0,0,0
655360,0,0,0
710129,0,0,0
711297,0,0,0
712465,0,0,0
713632,0,0,0
714802,0,0,0
715970,0,0,0
717139,0,0,0
720896,0,0,0
740608,0,0,0
741760,0,0,0
742946,0,0,0
744130,0,0,0
745299,0,0,0
746467,0,0,0
747632,0,0,0
720896,0,0,0
771586,0,0,0
772997,0,0,0
774149,0,0,0
775338,0,0,0
776513,0,0,0
777681,0,0,0
778849,0,0,0
786432,0,0,0
802304,0,0,0
803496,0,0,0
804616,0,0,0
805832,0,0,0
806984,0,0,0
808169,0,0,0
809226,0,0,0
786432,0,0,0
832772,0,0,0
833988,0,0,0
835140,0,0,0
836321,0,0,0
838164,0,0,0
839368,0,0,0
840553,0,0,0
851968,0,0,0
864032,0,0,0
865152,0,0,0
866371,0,0,0
867528,0,0,0
868712,0,0,0
869384,0,0,0
871048,0,0,0
851968,0,0,0
894530,0,0,0
895698,0,0,0
896770,0,0,0
897042,0,0,0
899212,0,0,0
900387,0,0,0
901507,0,0,0
917504,0,0,0
925698,0,0,0
926913,0,0,0
928089,0,0,0
928777,0,0,0
930330,0,0,0
931594,0,0,0
932762,0,0,0
917504,0,0,0
956161,0,0,0
956416,0,0,0
958496,0,0,0
959746,0,0,0
960898,0,0,0
962066,0,0,0
963266,0,0,0
983040,0,0,0
986657,0,0,0
987905,0,0,0
989057,0,0,0
990224,0,0,0
992130,0,0,0
993280,0,0,0
994448,0,0,0
983040,0,0,0
1017856,0,0,0
1019136,0,0,0
1020304,0,0,0
1021441,0,0,0
1023363,0,0,0
1024548,0,0,0
1025668,0,0,0
983040,0,0,0
1049202,0,0,0
1050368,0,0,0
1051521,0,0,0
1052706,0,0,0
1053826,0,0,0
1055042,0,0,0
1056192,0,0,0
1048576,0,0,0
1080388,0,0,0
1081584,0,0,0
1082752,0,0,0
1083921,0,0,0
1085088,0,0,0
1086208,0,0,0
1087424,0,0,0
1048576,0,0,0
1110912,0,0,0
1112080,0,0,0
1113248,0,0,0
1114368,0,0,0
1115584,0,0,0
1116736,0,0,0
1117920,0,0,0
1114112,0,0,0
1141408,0,0,0
1142576,0,0,0
1143744,0,0,0
1144913,0,0,0
1146786,0,0,0
1147908,0,0,0
1149136,0,0,0
1114112,0,0,0
1172618,0,0,0
1173786,0,0,0
1174952,0,0,0
1176128,0,0,0
1177296,0,0,0
1178465,0,0,0
1179633,0,0,0
1179648,0,0,0
1203122,0,0,0
1204288,0,0,0
1205456,0,0,0
1206624,0,0,0
1207792,0,0,0
1208964,0,0,0
1210139,0,0,0
1179648,0,0,0
1234330,0,0,0
1235502,0,0,0
1236670,0,0,0
1237838,0,0,0
1239006,0,0,0
1240175,0,0,0
1241345,0,0,0
1245184,0,0,0
1264826,0,0,0
1265995,0,0,0
1267163,0,0,0
1268331,0,0,0
1269501,0,0,0
1270669,0,0,0
1271837,0,0,0
1245184,0,0,0
1295313,0,0,0
1296481,0,0,0
1297648,0,0,0
1298816,0,0,0
1300673,0,0,0
1301861,0,0,0
1303040,0,0,0
1310720,0,0,0
1326466,0,0,0
1327682,0,0,0
1328835,0,0,0
1330032,0,0,0
1331200,0,0,0
1332370,0,0,0
1333544,0,0,0
1310720,0,0,0
1356992,0,0,0
1358177,0,0,0
1359368,0,0,0
1360537,0,0,0
1361705,0,0,0
1362873,0,0,0
1364042,0,0,0
1376256,0,0,0
1388239,0,0,0
1389410,0,0,0
1390579,0,0,0
1391747,0,0,0
1392915,0,0,0
1394091,0,0,0
1395256,0,0,0
1376256,0,0,0
1418738,0,0,0
1419906,0,0,0
1421074,0,0,0
1422251,0,0,0
1423416,0,0,0
1424584,0,0,0
1425756,0,0,0
1441792,0,0,0
1449234,0,0,0
1450400,0,0,0
1451572,0,0,0
1452740,0,0,0
1454622,0,0,0
1455793,0,0,0
1456960,0,0,0
1441792,0,0,0
1480448,0,0,0
1481617,0,0,0
1482785,0,0,0
1483953,0,0,0
1485130,0,0,0
1486298,0,0,0
1487466,0,0,0
1507328,0,0,0
1510945,0,0,0
1512120,0,0,0
1513290,0,0,0
1514458,0,0,0
1515626,0,0,0
1516795,0,0,0
1517963,0,0,0
1507328,0,0,0
1542160,0,0,0
1543332,0,0,0
1544502,0,0,0
1545670,0,0,0
1546839,0,0,0
1548007,0,0,0
1549175,0,0,0
1507328,0,0,0
1572654,0,0,0
1573822,0,0,0
1574990,0,0,0
1576158,0,0,0
1577327,0,0,0
1578496,0,0,0
1579664,0,0,0
1572864,0,0,0
1603142,0,0,0
1604311,0,0,0
1605479,0,0,0
1606647,0,0,0
1608528,0,0,0
1609699,0,0,0
1610867,0,0,0
1572864,0,0,0
1634351,0,0,0
1635521,0,0,0
1636688,0,0,0
1637856,0,0,0
1639026,0,0,0
1640194,0,0,0
1641370,0,0,0
1638400,0,0,0
1664848,0,0,0
1666016,0,0,0
1667185,0,0,0
1668358,0,0,0
1669520,0,0,0
1670696,0,0,0
1671864,0,0,0
1638400,0,0,0
1696055,0,0,0
1697224,0,0,0
1698399,0,0,0
1699567,0,0,0
1700735,0,0,0
1701904,0,0,0
1703072,0,0,0
1703936,0,0,0
1726569,0,0,0
1727737,0,0,0
1728905,0,0,0
1730072,0,0,0
1731248,0,0,0
1732418,0,0,0
1733586,0,0,0
1703936,0,0,0
1757064,0,0,0
1758233,0,0,0
1759403,0,0,0
1760568,0,0,0
1762452,0,0,0
1763623,0,0,0
1764791,0,0,0
1769472,0,0,0
1788276,0,0,0
1789446,0,0,0
1791388,0,0,0
1792557,0,0,0
1793725,0,0,0
1794893,0,0,0
1796062,0,0,0
1769472,0,0,0
1819549,0,0,0
1820718,0,0,0
1821886,0,0,0
1823054,0,0,0
1824222,0,0,0
1825396,0,0,0
1826564,0,0,0
1835008,0,0,0
1850755,0,0,0
1851924,0,0,0
1853102,0,0,0
1854270,0,0,0
1855439,0,0,0
1856607,0,0,0
1857775,0,0,0
1835008,0,0,0
1881252,0,0,0
1882374,0,0,0
1883590,0,0,0
1884742,0,0,0
1885928,0,0,0
1887104,0,0,0
1888256,0,0,0
1900544,0,0,0
1911748,0,0,0
1912901,0,0,0
1914102,0,0,0
1915270,0,0,0
1917128,0,0,0
1918320,0,0,0
1919488,0,0,0
1900544,0,0,0
1942912,0,0,0
1944130,0,0,0
1945283,0,0,0
1946464,0,0,0
1945600,0,0,0
1948804,0,0,0
1949956,0,0,0
1966080,0,0,0
1973458,0,0,0
1974627,0,0,0
1975792,0,0,0
1976960,0,0,0
1978136,0,0,0
1979304,0,0,0
1980476,0,0,0
1966080,0,0,0
2004667,0,0,0
2005836,0,0,0
2007006,0,0,0
2008174,0,0,0
2009090,0,0,0
2010512,0,0,0
2011680,0,0,0
2031616,0,0,0
2035160,0,0,0
2036328,0,0,0
2037496,0,0,0
2038664,0,0,0
2039832,0,0,0
2041002,0,0,0
2042170,0,0,0
2031616,0,0,0
2065648,0,0,0
2066816,0,0,0
2067984,0,0,0
2069152,0,0,0
2071034,0,0,0
2072192,0,0,0
2073384,0,0,0
2031616,0,0,0
2096863,0,0,0
2098031,0,0,0
2097152,0,0,0
2100368,0,0,0
2101544,0,0,0
2102712,0,0,0
2103880,0,0,0
2097152,0,0,0
2127368,0,0,0
2128536,0,0,0
2129705,0,0,0
2130873,0,0,0
2132040,0,0,0
2133208,0,0,0
2134384,0,0,0
2097152,0,0,0
2158560,0,0,0
2159746,0,0,0
2160914,0,0,0
2162083,0,0,0
2163258,0,0,0
2164427,0,0,0
2165595,0,0,0
2162688,0,0,0
2189072,0,0,0
2190248,0,0,0
2191418,0,0,0
2192586,0,0,0
2193754,0,0,0
2194922,0,0,0
2196099,0,0,0
2162688,0,0,0
2219580,0,0,0
2220749,0,0,0
2221917,0,0,0
2223092,0,0,0
2224974,0,0,0
2226144,0,0,0
2227313,0,0,0
2228224,0,0,0
2250784,0,0,0
2251952,0,0,0
2253136,0,0,0
2254304,0,0,0
2255473,0,0,0
2256641,0,0,0
2257808,0,0,0
2228224,0,0,0
2281280,0,0,0
2282464,0,0,0
2283632,0,0,0
2284800,0,0,0
2285969,0,0,0
2287139,0,0,0
2288307,0,0,0
2293760,0,0,0
2312498,0,0,0
2313669,0,0,0
2314837,0,0,0
2316004,0,0,0
2317174,0,0,0
2318343,0,0,0
2319513,0,0,0
2293760,0,0,0
2342992,0,0,0
2344160,0,0,0
2345328,0,0,0
2346498,0,0,0
2347666,0,0,0
2348834,0,0,0
2350002,0,0,0
2359296,0,0,0
2373481,0,0,0
2374649,0,0,0
2375818,0,0,0
2376986,0,0,0
2378868,0,0,0
2380038,0,0,0
2381207,0,0,0
2359296,0,0,0
2404686,0,0,0
2405854,0,0,0
2407023,0,0,0
2408191,0,0,0
2409368,0,0,0
2410536,0,0,0
2411704,0,0,0
2424832,0,0,0
2435183,0,0,0
2436354,0,0,0
2437524,0,0,0
2438693,0,0,0
2439861,0,0,0
2441029,0,0,0
2442196,0,0,0
2424832,0,0,0
2466395,0,0,0
2467566,0,0,0
2468734,0,0,0
2469902,0,0,0
2471070,0,0,0
2472246,0,0,0
2473415,0,0,0
2490368,0,0,0
2496893,0,0,0
2498062,0,0,0
2499230,0,0,0
2500402,0,0,0
2501571,0,0,0
2502739,0,0,0
2503904,0,0,0
2490368,0,0,0
2527392,0,0,0
2528564,0,0,0
2529732,0,0,0
2530900,0,0,0
2532781,0,0,0
2533952,0,0,0
2535128,0,0,0
2555904,0,0,0
2559388,0,0,0
2560556,0,0,0
2561724,0,0,0
2562892,0,0,0
2564061,0,0,0
2565229,0,0,0
2566402,0,0,0
2555904,0,0,0
2589881,0,0,0
2591048,0,0,0
2592216,0,0,0
2593392,0,0,0
2594564,0,0,0
2595732,0,0,0
2596900,0,0,0
2555904,0,0,0
2621101,0,0,0
2622271,0,0,0
2623440,0,0,0
2624608,0,0,0
2625776,0,0,0
2626944,0,0,0
2628121,0,0,0
2621440,0,0,0
2651600,0,0,0
2652768,0,0,0
2653936,0,0,0
2655113,0,0,0
2656281,0,0,0
2657449,0,0,0
2658618,0,0,0
2621440,0,0,0
2682104,0,0,0
2683273,0,0,0
2684441,0,0,0
2685609,0,0,0
2687490,0,0,0
2688660,0,0,0
2689829,0,0,0
2686976,0,0,0
2713309,0,0,0
2714477,0,0,0
2715644,0,0,0
2716814,0,0,0
2717982,0,0,0
2719150,0,0,0
2720319,0,0,0
2686976,0,0,0
2743797,0,0,0
2744964,0,0,0
2746139,0,0,0
2747307,0,0,0
2748472,0,0,0
2749644,0,0,0
2750812,0,0,0
2752512,0,0,0
2775011,0,0,0
2776182,0,0,0
2777354,0,0,0
2778524,0,0,0
2779693,0,0,0
2780861,0,0,0
2782029,0,0,0
2752512,0,0,0
2805510,0,0,0
2806678,0,0,0
2807846,0,0,0
2809014,0,0,0
2810183,0,0,0
2811354,0,0,0
2812525,0,0,0
2818048,0,0,0
2836003,0,0,0
2837171,0,0,0
2838340,0,0,0
2839511,0,0,0
2841398,0,0,0
2842569,0,0,0
2843737,0,0,0
2818048,0,0,0
2867216,0,0,0
2868395,0,0,0
2869560,0,0,0
2870732,0,0,0
2871900,0,0,0
2873068,0,0,0
2874236,0,0,0
2883584,0,0,0
2897716,0,0,0
2898884,0,0,0
2900052,0,0,0
2901221,0,0,0
2902395,0,0,0
2903560,0,0,0
2904732,0,0,0
2883584,0,0,0
2928922,0,0,0
2930101,0,0,0
2931269,0,0,0
2932436,0,0,0
2933606,0,0,0
2934774,0,0,0
2935942,0,0,0
2949120,0,0,0
2959421,0,0,0
2960588,0,0,0
2961758,0,0,0
2962926,0,0,0
2964102,0,0,0
2965271,0,0,0
2966439,0,0,0
2949120,0,0,0
2989918,0,0,0
2991094,0,0,0
2992262,0,0,0
2993430,0,0,0
2995311,0,0,0
2996482,0,0,0
2997650,0,0,0
3014656,0,0,0
3021137,0,0,0
3022305,0,0,0
3023473,0,0,0
3024642,0,0,0
3025810,0,0,0
3026978,0,0,0
3028146,0,0,0
3014656,0,0,0
3051625,0,0,0
3052793,0,0,0
3053962,0,0,0
3055138,0,0,0
3056307,0,0,0
3057475,0,0,0
3058643,0,0,0
3080192,0,0,0
3082842,0,0,0
3084013,0,0,0
3085181,0,0,0
3086354,0,0,0
3087525,0,0,0
3088693,0,0,0
3089861,0,0,0
3080192,0,0,0
3113341,0,0,0
3114512,0,0,0
3115680,0,0,0
3116848,0,0,0
3118017,0,0,0
3119185,0,0,0
3120358,0,0,0
3080192,0,0,0
3143836,0,0,0
3145006,0,0,0
3146174,0,0,0
3147345,0,0,0
3149228,0,0,0
3150402,0,0,0
3151571,0,0,0
3145728,0,0,0
3175049,0,0,0
3176217,0,0,0
3177392,0,0,0
3178564,0,0,0
3179732,0,0,0
3180900,0,0,0
3182068,0,0,0
3145728,0,0,0
3205566,0,0,0
3206734,0,0,0
3207902,0,0,0
