g is pressed
time,x,y,z
0,512,256,-3329
1992,2304,256,256
3163,512,-2817,15872
4331,8704,512,-7937
5501,5120,0,5120
6669,0,3072,0
7836,4096,4096,1024
9006,7168,256,0
0,-5377,1280,2304
32492,256,512,4096
33661,9728,6144,2048
34829,4096,2048,4096
35997,1536,1024,5120
37164,2560,1792,7168
38334,3072,3072,256
39504,0,3072,2816
0,11264,0,-15105
62983,0,5120,-6913
64151,0,4352,4096
65319,8448,256,256
66488,10240,8448,0
68378,1024,8192,2048
69549,6400,6144,6144
70717,768,6144,2048
65536,8448,8704,0
94195,0,-3329,-14081
95370,8192,2560,2816
96538,8192,-3585,11264
97706,3072,8192,2304
98875,1536,256,8960
100043,8192,8448,0
101211,6144,2304,768
65536,0,0,1792
124691,3328,4096,2560
125856,3072,768,-1281
127028,0,2304,0
128196,2048,16384,0
129370,3072,5120,1024
130539,7168,2304,256
131707,10240,8192,1024
131072,2048,4096,-11009
155896,1280,5120,512
157068,2304,0,1792
158236,4608,4352,6144
159406,0,0,8192
160574,0,7424,3840
161742,5632,1536,2048
162911,2560,0,4096
131072,14336,4608,13824
186395,6144,-4097,1536
187560,8448,0,-5889
188732,10240,4096,0
189900,512,4096,1024
191068,1280,0,0
192244,4096,0,0
193413,256,-12801,512
196608,0,0,-3841
216891,0,768,-6401
218060,512,0,0
219228,4608,-5889,1024
220403,6144,256,3584
222280,1792,256,4096
223454,8192,-7937,0
224622,0,2560,0
196608,1024,768,8192
248108,0,0,-7937
249277,8704,-16129,512
250445,0,1536,1024
251612,4608,-3073,4096
252782,0,512,0
253950,8960,5120,2048
255384,1024,-12545,1536
262144,7680,256,-11777
278866,1024,-32513,6400
280034,2048,4608,0
281202,256,2048,2048
282378,0,-7937,1024
283546,4096,2048,5632
284715,2304,0,512
285883,2048,2560,4608
262144,0,3072,5120
310074,512,4096,0
311252,8192,0,0
312420,12288,0,5376
313588,1536,0,1024
314756,4352,512,256
315925,2048,2304,5120
317100,8960,3072,1024
327680,4096,1280,0
340584,512,8448,-15105
341752,512,5632,2048
342921,1024,1792,4352
344097,1024,8192,1024
345266,4352,512,2048
346434,4608,4352,1024
347602,0,0,1280
327680,7936,0,512
371081,512,5376,1024
372257,768,8192,256
373424,768,0,5376
374594,6144,-5633,5120
376475,1024,256,0
377645,1536,0,0
378812,4608,9216,256
393216,8960,2560,3072
402300,10752,-5889,3840
403469,3584,0,4096
404637,0,0,0
405805,9472,-7937,1024
406972,512,6400,4608
408142,6144,2048,512
409310,4864,-7937,1280
393216,9472,-20480,28928
432789,11776,-32257,10240
433957,-6913,3072,0
435132,256,-12033,3072
436301,8192,5376,1792
437469,1536,5632,512
438636,8192,4096,2304
439806,4096,-1281,5120
458752,0,2304,2304
464007,4096,1280,3072
465177,16384,5120,1024
466351,0,4096,512
467521,2048,8704,3072
468689,5376,512,0
469856,256,256,0
471026,4096,0,8192
458752,8192,-5121,-6913
494506,11264,256,0
495675,2048,4608,256
496843,1024,1536,4096
498011,1024,0,0
499180,1024,4352,5120
500352,512,5376,-769
501520,10240,0,0
458752,0,256,0
525000,2048,768,1536
526169,2304,1024,8704
527336,5120,0,3584
528507,2048,-1537,8192
530396,0,512,512
531552,3328,0,0
532481,768,-3329,1024
524288,0,18688,12800
556208,12544,512,-5889
557379,0,1024,8192
558528,2304,-14081,3072
559716,512,9216,-7425
560644,4096,2048,9216
562052,256,256,2816
563204,8192,0,2560
524288,768,28160,20992
586708,2304,4096,-12545
587876,4352,0,2048
589044,1024,0,0
590212,4096,2048,1536
591363,1280,-14081,5120
592547,1280,2560,768
593668,3328,0,4096
589824,0,8448,-14081
617858,0,4096,1280
619093,512,512,0
620261,0,9472,1024
621429,4096,4096,4096
622598,0,1024,0
623766,0,0,-3841
624934,2560,0,6656
589824,0,-7937,8192
648389,8192,512,0
649573,2560,0,6144
650246,2048,1024,3072
651910,0,4096,256
653094,4352,6144,0
654262,1536,-5377,512
655431,0,1024,0
655360,0,-24321,4096
677892,2048,8192,1536
680076,768,-7937,-6657
681254,8704,0,7168
682422,2048,4096,0
684295,7936,2304,1024
685474,3840,-5889,10496
686642,3072,2304,10496
655360,2304,16896,256
710129,6400,-15873,5376
711297,768,-3841,12288
712465,2560,256,256
713632,1024,8704,1024
714802,5376,768,1024
715970,4864,1792,0
717139,512,4096,1024
720896,9216,10240,-7937
740608,16384,-15873,0
741760,12288,8448,5376
742946,13312,2048,6144
744130,4096,1536,6656
745299,4608,2048,4608
746467,10240,3328,512
747632,1024,-5377,8192
720896,256,768,1024
771586,-1793,3072,-8961
772997,8192,0,2560
774149,0,256,1024
775338,4096,256,1024
776513,1280,6144,256
777681,9728,5376,4096
778849,3072,-6913,2048
786432,12800,-11265,8192
802304,10240,-5889,1024
803496,5120,4096,-1025
804616,0,7168,-2817
805832,512,8192,8192
806984,8192,1536,512
808169,4096,8192,0
809226,1792,8192,4864
786432,4864,5120,4352
832772,2048,4096,0
833988,512,4096,1280
835140,6144,7168,0
836321,0,0,8192
838164,2048,9216,6144
839368,1280,0,-7937
840553,5120,11264,2048
851968,8192,1792,512
864032,9216,-5889,0
865152,0,1024,512
866371,0,-2049,0
867528,12288,4608,2560
868712,4096,4096,8192
869384,10240,0,0
871048,0,256,10240
851968,768,0,-9985
894530,256,0,1024
895698,10240,-11009,0
896770,1280,2048,2048
897042,0,0,-3585
899212,3072,-3841,6400
900387,0,768,512
901507,5120,-5377,-1
917504,2048,-13057,9216
925698,0,0,-2049
926913,4096,6144,0
928089,0,2048,256
928777,256,0,0
930330,6400,0,6656
931594,-1793,4096,12288
932762,1280,512,-2305
917504,4096,8192,0
956161,8192,512,1024
956416,4096,-7937,2048
958496,4096,8192,2816
959746,4096,-11777,7168
960898,2560,1280,3584
962066,4096,6656,1024
963266,9216,1536,5120
983040,8192,1024,0
986657,8704,0,512
987905,8448,2304,3072
989057,0,4096,512
990224,8192,512,512
992130,3072,256,0
993280,2048,2304,5376
994448,2048,-3329,-3841
983040,11776,-15617,2048
1017856,512,12288,4352
1019136,8448,2560,8704
1020304,512,3584,1536
1021441,1024,5888,5120
1023363,10240,4352,4096
1024548,0,-7937,0
1025668,0,4352,-11009
983040,8704,256,4096
1049202,2048,2048,1024
1050368,0,0,4352
1051521,768,0,-5889
1052706,4608,1536,768
1053826,0,2048,8192
1055042,1536,1536,9216
1056192,8704,2048,-4865
1048576,0,-30977,4096
1080388,8704,0,8704
1081584,8704,0,512
1082752,5120,2048,0
1083921,256,4096,-5377
1085088,768,2048,768
1086208,256,1792,4096
1087424,512,-769,2048
1048576,0,2560,22528
1110912,2048,3072,-13825
1112080,0,0,4096
1113248,2048,0,0
1114368,-5377,256,512
1115584,2560,0,4096
1116736,4096,0,-1281
1117920,3072,512,0
1114112,1024,1024,4608
1141408,8448,256,12288
1142576,512,256,0
