time,x,y,z
0,-480,-256,128
280,-256,-256,64
128,-256,-512,0
2626,-256,-256,128
128,-512,-224,0
2208,-256,-256,128
16482,-256,-256,128
16404,-256,-256,64
0,-512,-256,64
50528,-512,-256,0
49168,-192,-256,0
49748,-512,-512,128
50720,-256,-256,128
53312,-480,-320,0
66594,-496,-384,128
68354,-448,-512,48
65536,-496,-256,32
90114,-512,-480,0
91136,-512,-256,64
98696,-192,-384,80
98304,-512,-480,128
99584,-496,-480,192
102528,-496,-512,144
106499,-512,-240,0
131072,-480,-448,0
131072,-496,-480,0
131106,-256,-480,0
131073,-256,-256,32
131204,-448,-512,0
155680,-512,-512,0
156160,-512,-512,64
155648,-256,-496,0
131072,-256,-256,128
167970,-480,-512,64
131072,-512,-416,0
131088,-256,-256,64
131092,-256,-256,0
131072,-256,-192,128
135427,-512,-512,0
196644,-416,-512,0
196608,-256,-464,0
229408,-512,-240,16
229416,-224,-448,0
229888,-512,-512,32
229425,-512,-496,144
229427,-512,-496,0
231961,-176,-512,0
235800,-176,-256,0
262144,-288,-496,0
278528,-256,-480,0
279684,-224,-464,0
280592,-512,-480,0
263168,-512,-512,0
262161,-448,-352,0
295426,-256,-448,0
295984,-464,-512,0
262144,-512,-512,64
270342,-512,-480,64
262656,-512,-320,0
327712,-464,-288,16
331808,-512,-512,0
327683,-240,-384,0
327812,-256,-512,0
328324,-480,-448,0
327680,-256,-512,128
362626,-512,-512,0
360516,-448,-512,0
360456,-192,-256,0
362498,-512,-256,0
262152,-512,-256,96
264208,-512,-464,16
262144,-256,-512,32
393216,-256,-480,0
393280,-512,-512,128
394752,-448,-512,0
393348,-464,-224,0
393222,-512,-256,0
393216,-256,-256,64
397344,-256,-384,96
435330,-240,-256,0
393216,-256,-512,0
399618,-256,-192,128
458752,-464,-240,0
458796,-512,-224,0
458752,-512,-480,64
459136,-240,-480,0
462849,-448,-512,0
464896,-512,-384,0
458752,-512,-512,0
6161,-240,-496,0
7184,-256,-480,64
1028,-480,-512,0
8,-448,-512,0
2048,-448,-512,0
4096,-512,-512,192
4224,-512,-448,128
524288,-480,-256,96
528904,-512,-512,64
528384,-512,-512,0
557216,-448,-496,0
557152,-256,-240,0
557568,-256,-256,0
559144,-256,-288,32
557344,-448,-384,0
589824,-256,-496,128
593984,-512,-512,0
594944,-256,-512,0
593984,-256,-512,64
590848,-256,-512,64
589832,-256,-448,64
589974,-512,-480,0
590880,-512,-464,0
524288,-512,-512,16
524352,-480,-512,64
528384,-448,-512,192
524304,-224,-512,0
525064,-512,-512,0
524352,-448,-512,128
524288,-416,-512,128
659456,-480,-256,0
655360,-480,-512,160
656512,-224,-512,0
657544,-224,-192,0
659456,-256,-224,0
688192,-512,-512,0
655370,-512,-512,16
655889,-512,-224,128
655424,-512,-480,32
720896,-256,-512,0
720904,-256,-448,32
721680,-256,-480,128
722962,-512,-512,16
720897,-496,-352,16
721537,-256,-384,0
720896,-512,-512,128
753665,-512,-368,144
524288,-256,-512,0
524322,-512,-240,0
532480,-256,-224,0
788994,-512,-496,0
786440,-448,-256,0
786701,-240,-208,0
786944,-448,-256,0
794624,-256,-512,0
786432,-192,-512,0
827394,-256,-512,128
827392,-480,-416,128
819201,-224,-512,128
819840,-224,-512,0
786560,-256,-512,0
794624,-256,-512,0
797196,-384,-496,0
851968,-512,-448,128
852036,-256,-448,0
852997,-256,-480,0
852096,-480,-512,0
851970,-480,-512,0
856160,-256,-480,0
886785,-512,-256,0
884802,-240,-464,0
917504,-240,-512,0
918016,-256,-512,0
925696,-256,-480,16
925699,-512,-256,128
918576,-496,-400,0
922146,-512,-448,0
917521,-496,-256,128
919569,-464,-256,0
917504,-512,-288,64
919558,-512,-512,0
919809,-512,-384,0
926786,-256,-512,0
926208,-256,-256,32
925824,-224,-256,32
983056,-480,-512,128
985220,-224,-240,0
983040,-256,-512,0
1015824,-256,-432,0
1015808,-224,-448,64
1024144,-192,-512,0
1024064,-256,-512,0
1025029,-512,-512,32
1015808,-512,-496,32
1032219,-512,-432,0
1048576,-224,-384,0
1064960,-256,-448,0
1065088,-224,-512,0
1067520,-512,-384,0
1069240,-512,-512,0
1058944,-384,-368,0
1081488,-256,-256,16
1081344,-256,-512,0
1048576,-512,-512,0
1048706,-496,-320,0
1114117,-512,-480,0
1114176,-256,-256,16
1117216,-496,-480,0
1114657,-512,-512,128
1114657,-512,-480,0
1130500,-464,-448,0
1114112,-512,-256,128
1146880,-256,-256,128
1146880,-256,-480,0
1146880,-256,-480,16
1167361,-512,-320,64
1048832,-496,-224,0
1048576,-240,-512,0
1049601,-240,-496,32
1179648,-448,-512,0
1212416,-512,-256,0
1212416,-512,-448,0
1213632,-512,-480,0
1212432,-256,-480,0
1213504,-256,-512,0
1212480,-512,-240,0
1213056,-256,-512,0
1245184,-496,-512,16
1245202,-512,-480,0
1246113,-512,-256,32
1262080,-256,-224,0
1261824,-512,-480,0
1261572,-192,-512,64
1265664,-256,-512,32
1261584,-496,-512,0
1245184,-512,-192,64
1048612,-496,-256,16
1049088,-512,-256,32
1048577,-512,-256,0
1048704,-480,-480,48
1315392,-512,-256,64
1310720,-512,-224,0
1310820,-512,-512,0
1310720,-256,-256,0
1310790,-512,-256,0
1343506,-512,-224,0
1344088,-256,-224,0
1343490,-224,-480,16
1345536,-480,-192,64
1343744,-224,-192,0
1368064,-256,-480,0
1376256,-448,-512,0
1393408,-512,-256,32
1393154,-480,-256,0
1392647,-496,-256,0
1409057,-464,-496,16
1409827,-480,-496,0
1409027,-480,-512,0
1409028,-256,-480,0
1310720,-256,-256,0
1443332,-512,-256,32
1441921,-512,-480,0
1441810,-256,-416,0
1449992,-512,-256,128
1450056,-448,-512,32
1458176,-256,-224,32
1459202,-512,-240,0
1441792,-480,-416,0
1474568,-512,-224,0
1474688,-512,-480,0
1499138,-256,-256,0
1499396,-256,-448,0
1501190,-256,-256,64
1501192,-512,-512,64
1441793,-480,-448,32
1507328,-512,-480,0
1507680,-480,-384,0
1507360,-464,-496,0
1507936,-480,-512,0
1511458,-512,-512,0
1550592,-512,-480,96
1540100,-512,-448,0
1540176,-256,-512,192
1572864,-512,-512,160
1572882,-512,-256,160
1576960,-512,-256,0
1577024,-512,-496,0
1579283,-256,-496,0
1572929,-512,-512,192
1589508,-496,-208,0
1576996,-512,-416,0
1572864,-512,-512,128
1624192,-512,-512,0
1622024,-512,-240,0
1623040,-448,-416,0
1579073,-240,-496,144
1638402,-512,-512,128
1638472,-512,-256,0
1640480,-480,-224,0
1638400,-224,-256,128
1671169,-448,-432,0
1672192,-448,-496,0
1671552,-384,-240,0
1671168,-512,-480,0
1671232,-256,-432,0
1687552,-512,-448,0
1687681,-256,-512,64
1703936,-512,-512,64
1703936,-256,-512,32
1704065,-512,-496,0
1724440,-480,-240,0
1703996,-288,-512,144
1704961,-512,-512,0
1703936,-496,-448,16
1705090,-256,-448,0
1703936,-224,-256,0
1703940,-256,-256,0
